project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-DLBC	a8e2df1e-4042-42af-9231-3a00e83489f0	TCGA-FF-8043	27be14bb-d286-4663-acd3-28b78459df7e	TCGA-FF-8043-10A	1ffeb583-3ecc-47b5-a29f-d373b96ae6a2	TCGA-FF-8043-10A-01	03102fdf-baca-4386-a99b-7ca7f2b69721	TCGA-FF-8043-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	a8e2df1e-4042-42af-9231-3a00e83489f0	TCGA-FF-8043	27be14bb-d286-4663-acd3-28b78459df7e	TCGA-FF-8043-10A	1ffeb583-3ecc-47b5-a29f-d373b96ae6a2	TCGA-FF-8043-10A-01	9fca948f-93f4-427b-9fd8-3e4a40132aa0	TCGA-FF-8043-10A-01D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	a8e2df1e-4042-42af-9231-3a00e83489f0	TCGA-FF-8043	dec7125d-7e6c-4d05-9911-c3ff2a8e2b73	TCGA-FF-8043-01A	b636d24f-7023-41c0-8113-9fe7e6d5d97d	TCGA-FF-8043-01A-11	22aaaf90-3e14-44b2-9b9e-4359aa62e41d	TCGA-FF-8043-01A-11R	'--	'--	'--	RNA	R	'--	0.13	'--	'--	'--	'--	UV Spec	released	'--
TCGA-DLBC	a8e2df1e-4042-42af-9231-3a00e83489f0	TCGA-FF-8043	dec7125d-7e6c-4d05-9911-c3ff2a8e2b73	TCGA-FF-8043-01A	b636d24f-7023-41c0-8113-9fe7e6d5d97d	TCGA-FF-8043-01A-11	6633c9eb-08bf-4ae4-a05d-f8c88bbd4a76	TCGA-FF-8043-01A-11D	'--	'--	'--	DNA	D	'--	0.14	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	a8e2df1e-4042-42af-9231-3a00e83489f0	TCGA-FF-8043	dec7125d-7e6c-4d05-9911-c3ff2a8e2b73	TCGA-FF-8043-01A	b636d24f-7023-41c0-8113-9fe7e6d5d97d	TCGA-FF-8043-01A-11	9d251c36-6e2e-476b-ab94-a902559bb67a	TCGA-FF-8043-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	f0a326d2-1f3e-4a5d-bca8-32aaccc52338	TCGA-FF-8042	562f76eb-cd16-4eec-9b31-3e5deee3497c	TCGA-FF-8042-01A	0b5da922-85cb-4183-b683-e389529d4c09	TCGA-FF-8042-01A-11	2efbec6d-5e91-4df2-bf03-d5da63d2b095	TCGA-FF-8042-01A-11R	'--	'--	'--	RNA	R	'--	0.13	'--	'--	'--	'--	UV Spec	released	'--
TCGA-DLBC	f0a326d2-1f3e-4a5d-bca8-32aaccc52338	TCGA-FF-8042	562f76eb-cd16-4eec-9b31-3e5deee3497c	TCGA-FF-8042-01A	0b5da922-85cb-4183-b683-e389529d4c09	TCGA-FF-8042-01A-11	ce8fe259-5112-4174-8c8b-8375880ba6fd	TCGA-FF-8042-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	f0a326d2-1f3e-4a5d-bca8-32aaccc52338	TCGA-FF-8042	562f76eb-cd16-4eec-9b31-3e5deee3497c	TCGA-FF-8042-01A	0b5da922-85cb-4183-b683-e389529d4c09	TCGA-FF-8042-01A-11	e52d192d-c179-420b-8ac1-dc6fccc2652a	TCGA-FF-8042-01A-11D	'--	'--	'--	DNA	D	'--	0.15	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	f0a326d2-1f3e-4a5d-bca8-32aaccc52338	TCGA-FF-8042	ed98350e-e546-4efd-805d-225f52eb29bf	TCGA-FF-8042-10A	b9b47c4f-783a-4aa4-9a6c-f59fd9169d6f	TCGA-FF-8042-10A-01	a9b82af9-ebfa-48d1-afad-22a2fa58acdb	TCGA-FF-8042-10A-01D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	f0a326d2-1f3e-4a5d-bca8-32aaccc52338	TCGA-FF-8042	ed98350e-e546-4efd-805d-225f52eb29bf	TCGA-FF-8042-10A	b9b47c4f-783a-4aa4-9a6c-f59fd9169d6f	TCGA-FF-8042-10A-01	d1bd5f47-b87f-4496-8f00-90f436eba748	TCGA-FF-8042-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	0e9fcccc-0630-408d-a121-2c6413824cb7	TCGA-FF-8062	303b29cb-6ce3-4fd8-891c-6aa8d8b5f1a2	TCGA-FF-8062-10A	a843f8bf-f86b-4654-b6f3-330fa7425774	TCGA-FF-8062-10A-01	553aebcf-47f7-4039-9cb8-0f319198d44c	TCGA-FF-8062-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	0e9fcccc-0630-408d-a121-2c6413824cb7	TCGA-FF-8062	303b29cb-6ce3-4fd8-891c-6aa8d8b5f1a2	TCGA-FF-8062-10A	a843f8bf-f86b-4654-b6f3-330fa7425774	TCGA-FF-8062-10A-01	9c207866-8d41-4f02-882d-f404ea02336d	TCGA-FF-8062-10A-01D	'--	'--	'--	DNA	D	'--	0.16	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	0e9fcccc-0630-408d-a121-2c6413824cb7	TCGA-FF-8062	a1dacfbb-042b-496e-94a4-046dc04e27b5	TCGA-FF-8062-01A	10ccc83c-8054-437c-87bf-43854219be29	TCGA-FF-8062-01A-11	51c96142-5bb9-445c-b7d0-02cd96c153c3	TCGA-FF-8062-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	0.5	'--	'--	'--	'--	PicoGreen	released	'--
TCGA-DLBC	0e9fcccc-0630-408d-a121-2c6413824cb7	TCGA-FF-8062	a1dacfbb-042b-496e-94a4-046dc04e27b5	TCGA-FF-8062-01A	10ccc83c-8054-437c-87bf-43854219be29	TCGA-FF-8062-01A-11	6e6f8ecb-b91e-40de-8cdb-aed7c32cb870	TCGA-FF-8062-01A-11R	'--	'--	'--	RNA	R	'--	0.16	'--	'--	'--	'--	UV Spec	released	'--
